prompt_id,persona,level,situational_context,full_prompt,llm_response,timestamp,error
1,MIT,High Intermediate,wants to optimize a system design,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson wants to optimize a system design.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""How can I effectively balance load and improve redundancy in a microservices architecture to ensure high availability?""",2025-12-17T07:49:42.723771,
2,MIT,Intermediate,is vibecoding,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Jessey Johnson is vibecoding.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","""How can I optimize the memory usage of my recursive function in Python to avoid stack overflow errors?""",2025-12-17T07:49:44.298592,
3,Malagasy,High Intermediate,is building their own project,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Vatosoa Razafindrazaka is building their own project.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","Vatosoa Razafindrazaka's Question: ""How can I implement multithreading in my Python application to optimize database query performance during my project?""",2025-12-17T07:49:46.054607,
4,Malagasy,High Intermediate,is asking about the work people do in tech,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Vatosoa Razafindrazaka is asking about the work people do in tech.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","""Can you explain the role of microservices in modern software architecture and how they improve scalability and maintainability compared to monolithic applications?""",2025-12-17T07:49:47.734869,
5,Malagasy,High Intermediate,is taking a CS class,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Vatosoa Razafindrazaka is taking a CS class.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","""How can I optimize the performance of a machine learning model using techniques like pruning and quantization in TensorFlow?""",2025-12-17T07:49:55.285483,
6,MIT,Intermediate,is discovering GitHub,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Jessey Johnson is discovering GitHub.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""How do I properly fork and clone a repository on GitHub for my project?""",2025-12-17T07:49:56.812632,
7,Malagasy,Beginner,is learning data visualization with Python,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Freshman-year student discovering coding for the first time

CURRENT SITUATION:
Vatosoa Razafindrazaka is learning data visualization with Python.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","Vatosoa Razafindrazaka's Question: ""How do I import and read a CSV file in Python for data visualization?""",2025-12-17T07:49:58.563065,
8,Malagasy,High Intermediate,is asking about the work people do in tech,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Vatosoa Razafindrazaka is asking about the work people do in tech.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","""Vatosoa Razafindrazaka's Question: 'How do data scientists leverage machine learning algorithms to solve real-world problems in the tech industry?'""",2025-12-17T07:50:00.179661,
9,MIT,Intermediate,is building a personal website,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Jessey Johnson is building a personal website.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""How can I use React components to dynamically update the content on my personal website?""",2025-12-17T07:50:01.921544,
10,MIT,Beginner,is discovering vibecoding,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Freshman-year student discovering coding for the first time

CURRENT SITUATION:
Jessey Johnson is discovering vibecoding.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""Can you explain what a loop is and how to use it in a simple Python program?""",2025-12-17T07:50:03.560423,
